date,open,high,low,close,volume,vwap,ticker
2021-01-04,375.31,375.45,364.82,368.79,110478457,369.352,SPY
2021-01-05,368.1,372.5,368.05,371.33,66580764,370.3831,SPY
2021-01-06,369.71,376.98,369.12,373.55,108201038,373.7995,SPY
2021-01-07,376.1,379.9,375.91,379.1,66841612,378.2337,SPY
2021-01-08,380.59,381.49,377.1,381.26,71623236,380.1117,SPY
2021-01-11,377.85,380.58,377.7189,378.69,51151848,379.1381,SPY
2021-01-12,378.89,379.86,376.36,378.77,52692394,378.6651,SPY
2021-01-13,378.69,380.86,377.85,379.79,45408266,379.6581,SPY
2021-01-14,380.59,381.13,378.1,378.46,49908476,379.6721,SPY
2021-01-15,376.72,377.58,373.7,375.7,106102383,376.1028,SPY
2021-01-19,378.34,379.23,376.75,378.65,51328803,378.0918,SPY
2021-01-20,381.11,384.79,380.69,383.89,61211499,382.5785,SPY
2021-01-21,384.49,384.95,383.25,384.24,47887079,384.2358,SPY
2021-01-22,382.25,384.1256,381.835,382.88,52322581,383.1974,SPY
2021-01-25,383.67,384.77,378.46,384.39,70594392,382.7642,SPY
2021-01-26,385.41,385.85,383.54,383.79,41457243,384.4052,SPY
2021-01-27,380.22,380.32,372.01,374.41,123465353,376.5794,SPY
2021-01-28,376.36,381.93,375.89,377.63,94387034,378.4114,SPY
2021-01-29,375.63,376.67,368.27,370.07,126537171,372.2035,SPY
2021-02-01,373.72,377.34,371.42,376.23,76204131,374.487,SPY
2021-02-02,379.65,383.22,379.6,381.55,64708569,381.4685,SPY
2021-02-03,382.435,383.7,380.48,381.85,52656585,382.333,SPY
2021-02-04,382.96,386.24,382.78,386.19,46732539,384.5356,SPY
2021-02-05,388.2,388.47,386.485,387.71,48863539,387.4232,SPY
2021-02-08,389.27,390.56,388.35,390.51,38535608,389.299,SPY
2021-02-09,389.61,390.89,389.17,390.25,35775029,390.288,SPY
2021-02-10,392.12,392.28,387.5,390.08,59170131,389.9511,SPY
2021-02-11,391.24,391.69,388.1,390.71,43070000,390.1722,SPY
2021-02-12,389.85,392.9,389.77,392.64,50749624,391.598,SPY
2021-02-16,393.96,394.17,391.53,392.3,51250583,392.8844,SPY
2021-02-17,390.42,392.66,389.33,392.39,53065043,391.3754,SPY
2021-02-18,389.59,391.515,387.74,390.72,59927621,390.1047,SPY
2021-02-19,392.07,392.38,389.55,390.03,82264583,390.7587,SPY
2021-02-22,387.06,389.62,386.74,387.03,67525246,387.9619,SPY
2021-02-23,384.66,388.945,380.2,387.5,107317266,385.139,SPY
2021-02-24,386.33,392.23,385.27,391.77,72389150,389.4661,SPY
2021-02-25,390.41,391.88,380.7789,382.33,146861885,385.8698,SPY
2021-02-26,384.35,385.58,378.23,380.36,152919040,382.2421,SPY
2021-03-01,385.59,390.92,385.54,389.58,105213631,388.222,SPY
2021-03-02,389.82,390.07,386.0,386.54,79275461,388.2773,SPY
2021-03-03,385.79,386.83,381.31,381.42,119374393,384.0218,SPY
2021-03-04,381.22,384.0,371.88,376.7,183594701,378.286,SPY
2021-03-05,380.46,384.76,372.64,383.63,152047537,379.1479,SPY
2021-03-08,384.66,387.68,381.42,381.72,122590782,384.6991,SPY
2021-03-09,385.85,389.91,385.31,387.17,113448927,387.287,SPY
2021-03-10,389.69,391.4,388.1702,389.58,110153696,389.6238,SPY
2021-03-11,392.23,395.65,391.74,393.53,86413504,393.216,SPY
2021-03-12,392.07,394.21,391.2,394.06,64774109,392.8978,SPY
2021-03-15,394.33,396.685,392.03,396.41,73796511,394.5227,SPY
2021-03-16,397.07,397.83,395.08,395.91,73931454,396.5745,SPY
2021-03-17,394.53,398.12,393.3,397.26,98019311,395.6922,SPY
2021-03-18,394.475,396.72,390.75,391.48,115499892,393.9945,SPY
2021-03-19,389.88,391.569,387.15,389.48,113940418,389.834,SPY
